generic,example_brand,synonym,source
Paracetamol,Crocin,Dolo,NLEM-2022-seed
Amoxicillin,Amoxil,Moxikind,NLEM-2022-seed
Azithromycin,Azithral,Zithromax,NLEM-2022-seed
Ibuprofen,Brufen,Combiflam-component,NLEM-2022-seed
Metformin,Glycomet,Obimet,NLEM-2022-seed
Atorvastatin,Atorva,Lipitor,NLEM-2022-seed
Amlodipine,Amlong,Norvasc,NLEM-2022-seed
Cetirizine,Cetzine,Zyrtec,NLEM-2022-seed
Omeprazole,Omez,Prilosec,NLEM-2022-seed
ORS,Electral,Rehydron,NLEM-2022-seed
Isoniazid,Isonex,INH,NLEM-2022-seed
Rifampicin,Rimactane,Rifadin,NLEM-2022-seed
